,Text,Label
0,y r u always l8 to the meetings?,student
1,The project team embraced a user-centric design approach for product development.,ai
2,"i dont like dealing with risks, it's too stressful",student
3,"i dont worry about reliability, it's good enough",student
4,"i dont care about human-centered design, just give me the final product",student
5,The study's methodology ensured a representative sample across demographics.,ai
6,"i dont care about industry practices, just give me the solution",student
7,The project team documented all processes for transparency.,ai
8,The project team maintained open lines of communication.,ai
9,The findings are consistent with existing theoretical frameworks.,ai
10,"i dont like inclusive decision-making, it's too slow",student
11,The results are presented in a logically organized manner.,ai
12,The research findings have practical implications for industry professionals.,ai
13,"i dont talk about limitations, it makes me look bad",student
14,The research methodology incorporated a multi-method approach for comprehensive data.,ai
15,"i dont care about participant responses, just give me the data",student
16,"The study's limitations are openly acknowledged, recognizing study boundaries.",ai
17,"The study's limitations are openly discussed, recognizing potential shortcomings.",ai
18,"i dont like solving problems, it's too much effort",student
