Text,Label
y r u always l8 to the meetings?,student
The project team embraced a user-centric design approach for product development.,ai
"i dont like dealing with risks, it's too stressful",student
"i dont worry about reliability, it's good enough",student
"i dont care about human-centered design, just give me the final product",student
The study's methodology ensured a representative sample across demographics.,ai
"i dont care about industry practices, just give me the solution",student
The project team documented all processes for transparency.,ai
The project team maintained open lines of communication.,ai
The findings are consistent with existing theoretical frameworks.,ai
"i dont like inclusive decision-making, it's too slow",student
The results are presented in a logically organized manner.,ai
The research findings have practical implications for industry professionals.,ai
"i dont talk about limitations, it makes me look bad",student
The research methodology incorporated a multi-method approach for comprehensive data.,ai
"i dont care about participant responses, just give me the data",student
"The study's limitations are openly acknowledged, recognizing study boundaries.",ai
"The study's limitations are openly discussed, recognizing potential shortcomings.",ai
"i dont like solving problems, it's too much effort",student
